keep_label,review_status,review_notes,cik,company_name,aaer_year,match_score,aaer_date,aaer_numbers,aaer_details,aaer_links,label_source,normalized_company_name,distinctive_company_tokens,exact_company_phrase_in_aaer,distinctive_token_coverage,triage_category,automation_status,automation_reason
0,LIKELY COMPANY MATCH,,1295401,"BANCORP, INC.",2015,100,1-Jun-15,AAER-3660,"First Bancorp, Anna Hollers and Teresa Nixon (Corrected Order) Release No. 34-75086, AAER-3660",https://www.sec.gov/files/litigation/admin/2015/34-75086.pdf,SEC AAER index + company-name candidate matching,BANCORP,BANCORP,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
1,LIKELY COMPANY MATCH,,885590,BAUSCH HEALTH COMPANIES INC.,2020,100,31-Jul-20,AAER-4153,"Valeant Pharmaceuticals International, Inc. and n/k/a Bausch Health Companies Inc. Release No. 33-10809, 34-89442, AAER-4153",https://www.sec.gov/files/litigation/admin/2020/33-10809.pdf,SEC AAER index + company-name candidate matching,BAUSCH HEALTH COMPANIES,BAUSCH | HEALTH | COMPANIES,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,351346,BIOMET INC,2012,100,26-Mar-12,AAER-3374,"Biomet, Inc. Release No. LR-22306, AAER-3374 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22306 | https://www.sec.gov/files/litigation/complaints/2012/comp22306.pdf,SEC AAER index + company-name candidate matching,BIOMET,BIOMET,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,885590,BIOVAIL CORP,2011,100,19-Apr-11,AAER-3271,"Biovail Corporation, Eugene Melnyk, Brian Crombie, John Miszuk, and Kenneth G. Howling Release No. LR-21938, AAER-3271",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-21938,SEC AAER index + company-name candidate matching,BIOVAIL,BIOVAIL,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,896429,"CANTALOUPE, INC.",2023,100,5-Jun-23,AAER-4417,"Cantaloupe, Inc. (f/k/a USA Technologies, Inc.) Release No. 33-11202, 34-97651, AAER-4417 See Also: Administrative Summary",https://www.sec.gov/files/litigation/admin/2023/33-11202.pdf | https://www.sec.gov/enforce/33-11202-s,SEC AAER index + company-name candidate matching,CANTALOUPE,CANTALOUPE,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,927628,CAPITAL ONE FINANCIAL CORP,2013,100,24-Apr-13,AAER-3456,"Capital One Financial Corporation, Peter A. Schnall, and David A. LaGassa Release No. 34-69442, AAER-3456",https://www.sec.gov/files/litigation/admin/2013/34-69442.pdf,SEC AAER index + company-name candidate matching,CAPITAL ONE FINANCIAL,ONE,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2010,100,7-Jun-10,AAER-3139,"China Yuchai International Limited Release No. 34-62235, AAER-3139",https://www.sec.gov/files/litigation/admin/2010/34-62235.pdf,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2012,100,14-May-12,AAER-3385,"China Natural Gas, Inc. and Qinan Ji Release No. LR-22368, AAER-3385 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22368 | https://www.sec.gov/files/litigation/complaints/2012/comp-pr2012-92.pdf,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2013,100,7-Jun-13,AAER-3463,"China Natural Gas, Inc. and Qinan Ji Release No. LR-22719, AAER-3463",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22719,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2013,100,20-Jun-13,AAER-3479,"China MediaExpress Holdings, Inc. and Zheng Cheng Release No. LR-22731, AAER-3479 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22731 | https://www.sec.gov/files/litigation/complaints/2013/comp22731.pdf,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2013,100,22-Jul-13,AAER-3484,"China Intelligent Lighting and Electronics, Inc. and NIVS IntelliMedia Technology Group, Inc. Release No. LR-22755, AAER-3484 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22755 | https://www.sec.gov/files/litigation/complaints/2013/comp22755.pdf,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2014,100,9-May-14,AAER-3552,"BDO China Dahua CPA Co., Ltd., Ernst & Young Hua Ming LLP, KPMG Huazhen (Special General Partnership), Deloitte Touche Tohmatsu Certified Public Accountants Ltd., and Pricewaterhousecoopers Zhong Tian CPAs Limited (Order Denying the Division's Motion to Strike the Notice of Withdrawal of Appearance and Setting a Briefing Schedule) Release No. 34-72134, AAER-3552",https://www.sec.gov/files/litigation/opinions/2014/34-72134.pdf,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2014,100,9-May-14,AAER-3553,"BDO China Dahua CPA Co., Ltd., Ernst & Young Hua Ming LLP, KPMG Huazhen (Special General Partnership), Deloitte Touche Tohmatsu Certified Public Accountants Ltd., and Pricewaterhousecoopers Zhong Tian CPAs Limited (Order Granting Leave to Adduce Additional Evidence and Granting the Petitions for Review) Release No. 34-72140, AAER-3553",https://www.sec.gov/files/litigation/opinions/2014/34-72140.pdf,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2014,100,2-Jun-14,AAER-3556,"BDO China Dahua CPA Co., Ltd. Deloitte Touche Tohmatsu Certified Public Accountants Ltd. Ernst & Young Hua Ming, LLP KPMG Huazhen (Special General Partnership) PricewaterhouseCoopers Zhong Tian CPAs Limited Release No. 34-72296, AAER-3556",https://www.sec.gov/files/litigation/admin/2014/34-72296.pdf,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,1494562,CHINA INC,2015,100,20-Mar-15,AAER-3643,"BDO China Dahua CPA Co., Ltd., et al. (Order Granting the Division of Enforcement's Unopposed Motion to Withdraw Its Petition for Review as to Dahua CPA, Ltd. and Notice That Initial Decision Has Become Final as to Dahua CPA, Ltd.) Release No. 34-74552, AAER-3643",https://www.sec.gov/files/litigation/opinions/2015/34-74552.pdf,SEC AAER index + company-name candidate matching,CHINA,CHINA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
1,LIKELY COMPANY MATCH,,1120830,"CHINA NATURAL GAS, INC.",2012,100,14-May-12,AAER-3385,"China Natural Gas, Inc. and Qinan Ji Release No. LR-22368, AAER-3385 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22368 | https://www.sec.gov/files/litigation/complaints/2012/comp-pr2012-92.pdf,SEC AAER index + company-name candidate matching,CHINA NATURAL GAS,CHINA | NATURAL | GAS,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1120830,"CHINA NATURAL GAS, INC.",2013,100,7-Jun-13,AAER-3463,"China Natural Gas, Inc. and Qinan Ji Release No. LR-22719, AAER-3463",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22719,SEC AAER index + company-name candidate matching,CHINA NATURAL GAS,CHINA | NATURAL | GAS,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1692415,"CO-DIAGNOSTICS, INC.",2023,100,5-Jul-23,AAER-4428,"Co-Diagnostics, Inc. Release No. 33-11209, 34-97836, AAER-4428 See Also: Administrative Summary",https://www.sec.gov/files/litigation/admin/2023/33-11209.pdf | https://www.sec.gov/enforce/33-11209-s,SEC AAER index + company-name candidate matching,DIAGNOSTICS,DIAGNOSTICS,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,23082,COMPUTER SCIENCES CORP,2015,100,5-Jun-15,AAER-3662,"Computer Sciences Corporation, et al. Release No. 33-9804, 34-75110, AAER-3662",https://www.sec.gov/files/litigation/admin/2015/33-9804.pdf,SEC AAER index + company-name candidate matching,COMPUTER SCIENCES,COMPUTER | SCIENCES,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
0,LIKELY COMPANY MATCH,,1549872,"COMVERSE, INC.",2009,100,18-Jun-09,AAER-2994,"Comverse Technology, Inc. Release No. LR-21090, AAER-2994 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-21090 | https://www.sec.gov/files/litigation/complaints/2009/comp21090.pdf,SEC AAER index + company-name candidate matching,COMVERSE,COMVERSE,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
1,LIKELY COMPANY MATCH,,889348,CPI AEROSTRUCTURES INC,2024,100,20-Jun-24,AAER-4510,"CPI Aerostructures, Inc. Release No. 34-100389, AAER-4510 See Also: Administrative Summary",https://www.sec.gov/files/litigation/admin/2024/34-100389.pdf | https://www.sec.gov/enforce/ap-summary/34-100389-s,SEC AAER index + company-name candidate matching,CPI AEROSTRUCTURES,CPI | AEROSTRUCTURES,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
0,LIKELY COMPANY MATCH,,1944013,CRANE CO,2013,100,8-May-13,AAER-3458,"Subaye, Inc. and James T. Crane Release No. LR-22698, AAER-3458 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22698 | https://www.sec.gov/files/litigation/complaints/2013/comp22698.pdf,SEC AAER index + company-name candidate matching,CRANE,CRANE,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_REJECT_OBVIOUS_MISMATCH,Only a single name token appears without an immediate corporate suffix; likely a person/surname collision.
0,LIKELY COMPANY MATCH,,25445,"CRANE HOLDINGS, CO.",2013,100,8-May-13,AAER-3458,"Subaye, Inc. and James T. Crane Release No. LR-22698, AAER-3458 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22698 | https://www.sec.gov/files/litigation/complaints/2013/comp22698.pdf,SEC AAER index + company-name candidate matching,CRANE,CRANE,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,MANUAL_REVIEW_COMPLETED,Reviewer decision merged from aaer_manual_review_only.csv.
1,LIKELY COMPANY MATCH,,1498291,"DANIELS CORPORATE ADVISORY COMPANY, INC.",2021,100,29-Apr-21,AAER-4218,"Daniels Corporate Advisory Company, Inc. Release No. 34-91722, AAER-4218",https://www.sec.gov/files/litigation/admin/2021/34-91722.pdf,SEC AAER index + company-name candidate matching,DANIELS CORPORATE ADVISORY,DANIELS | CORPORATE | ADVISORY,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,28823,DIEBOLD INC,2010,100,2-Jun-10,AAER-3137,"Diebold, Inc.; Walden O'Dell; and Gregory Geswein, Kevin Krakora, and Sandra Miller Release No. LR-21543, AAER-3137 See Also: SEC Complaint v. Diebold , Dell , and Miller",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-21543 | https://www.sec.gov/files/litigation/complaints/2010/comp21543-diebold.pdf | https://www.sec.gov/files/litigation/complaints/2010/comp21543-odell.pdf | https://www.sec.gov/files/litigation/complaints/2010/comp21543-geswein.pdf,SEC AAER index + company-name candidate matching,DIEBOLD,DIEBOLD,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,840889,DORAL FINANCIAL CORP,2009,100,6-Jul-09,AAER-3007,"Doral Financial Corporation and First BanCorp Release No. LR-21117, AAER-3007",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-21117,SEC AAER index + company-name candidate matching,DORAL FINANCIAL,DORAL,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
0,LIKELY COMPANY MATCH,,1799208,"DUN & BRADSTREET HOLDINGS, INC.",2018,100,23-Apr-18,AAER-3936,"The Dun & Bradstreet Corporation Release No. 34-83088, AAER-3936 See Also: Administrative Summary",https://www.sec.gov/files/litigation/admin/2018/34-83088.pdf | https://www.sec.gov/enforce/34-83088-s,SEC AAER index + company-name candidate matching,DUN AND BRADSTREET,DUN | BRADSTREET,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,MANUAL_REVIEW_COMPLETED,Reviewer decision merged from aaer_manual_review_only.csv.
1,LIKELY COMPANY MATCH,,1688568,DXC TECHNOLOGY CO,2023,100,14-Mar-23,AAER-4391,"DXC Technology Company Release No. 33-11166, 34-97140, AAER-4391",https://www.sec.gov/files/litigation/admin/2023/33-11166.pdf,SEC AAER index + company-name candidate matching,DXC TECHNOLOGY,DXC,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1213809,DYADIC INTERNATIONAL INC,2009,100,4-Jun-09,AAER-2984,"Dyadic International, Inc. Release No. 34-60047, AAER-2984",https://www.sec.gov/files/litigation/admin/2009/34-60047.pdf,SEC AAER index + company-name candidate matching,DYADIC INTERNATIONAL,DYADIC,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1604643,EVOQUA WATER TECHNOLOGIES CORP.,2023,100,13-Mar-23,AAER-4390,"Evoqua Water Technologies Corp. and Imran Parekh Release No. LR-25662, AAER-4390 See Also: SEC Complaint",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25662 | https://www.sec.gov/files/litigation/complaints/2023/comp25662.pdf,SEC AAER index + company-name candidate matching,EVOQUA WATER TECHNOLOGIES,EVOQUA | WATER,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1604643,EVOQUA WATER TECHNOLOGIES CORP.,2024,100,15-Mar-24,AAER-4493,"Evoqua Water Technologies Corp. and Imran Parekh Release No. LR-25950, AAER-4493 See Also: Final Judgment - Evoqua Water Technologies , Final Judgment - Imran Parekh , Partial Judgment - Imran Parekh",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25950 | https://www.sec.gov/files/litigation/litreleases/2024/judg25950-evoqua.pdf | https://www.sec.gov/files/litigation/litreleases/2024/judg25950-parekh.pdf | https://www.sec.gov/files/litigation/litreleases/2024/partjudg25950-parekh.pdf,SEC AAER index + company-name candidate matching,EVOQUA WATER TECHNOLOGIES,EVOQUA | WATER,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,922521,FALCONSTOR SOFTWARE INC,2012,100,28-Jun-12,AAER-3392,"FalconStor Software, Inc. Release No. LR-22405, AAER-3392",https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22405,SEC AAER index + company-name candidate matching,FALCONSTOR SOFTWARE,FALCONSTOR | SOFTWARE,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1635327,FLUTTER ENTERTAINMENT PLC,2023,100,6-Mar-23,AAER-4384,"Flutter Entertainment and plc as successor-in-interest to The Stars Group, Inc. (Corrected) Release No. 34-97044, AAER-4384 See Also: Administrative Summary",https://www.sec.gov/files/litigation/admin/2023/34-97044.pdf | http://www.sec.gov/enforce/34-97044-s,SEC AAER index + company-name candidate matching,FLUTTER ENTERTAINMENT,FLUTTER | ENTERTAINMENT,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,MANUAL_REVIEW_COMPLETED,Reviewer decision merged from aaer_manual_review_only.csv.
1,LIKELY COMPANY MATCH,,1382231,FORTEM RESOURCES INC.,2021,100,29-Apr-21,AAER-4212,"Fortem Resources, Inc. Release No. 34-91715, AAER-4212",https://www.sec.gov/files/litigation/admin/2021/34-91715.pdf,SEC AAER index + company-name candidate matching,FORTEM RESOURCES,FORTEM,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1575828,FRANK'S INTERNATIONAL N.V.,2023,100,26-Apr-23,AAER-4403,"Frank's International N.V. Release No. 34-97381, AAER-4403 See Also: Administrative Summary",https://www.sec.gov/enforcement-litigation/administrative-proceedings/34-97381 | https://www.sec.gov/enforce/34-97381-s,SEC AAER index + company-name candidate matching,FRANK S INTERNATIONAL N V,FRANK,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1066923,FUTURE FINTECH GROUP INC.,2023,100,3-Jul-23,AAER-4425,"Future FinTech Group Inc., Release No. 33-11206, 34-97829, AAER-4425 See Also: Administrative Summary",https://www.sec.gov/files/litigation/admin/2023/33-11206.pdf | https://www.sec.gov/enforce/33-11206-s,SEC AAER index + company-name candidate matching,FUTURE FINTECH GROUP,FUTURE | FINTECH,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
1,LIKELY COMPANY MATCH,,1390478,"GALENA BIOPHARMA, INC.",2017,100,10-Apr-17,AAER-3865,"Galena Biopharma, Inc. and Mark J. Ahn Release No. 33-10337, 34-80407, AAER-3865",https://www.sec.gov/files/litigation/admin/2017/33-10337.pdf,SEC AAER index + company-name candidate matching,GALENA BIOPHARMA,GALENA | BIOPHARMA,True,1.0,EXACT_NAME_MATCH—MANUAL_CONFIRM,AUTO_ACCEPT_STRICT,Full legal-entity name appears in the AAER title with an immediate corporate suffix.
